City/Town,Leading Candidate,Dawn Marie Ellis (I),Gerald Malloy (R),Kerry Patrick Raheb (I),Mark Coester (I),Cris Ericson (I),Natasha Diamondstone-Kohout (GM),Peter Welch (D),Stephen Duke (I),Write-Ins,Blanks,OverVotes,Total Votes Cast,Peter Welch (D) Percent Votes Cast,Gerald Malloy (R) Percent Votes Cast,OverVotes Percent
Addison,Peter Welch (D),8,321,2,6,5,0,384,3,16,64,0,809,47.47%,39.68%,0.00%
Albany,Peter Welch (D),4,177,1,1,2,4,253,4,0,24,0,470,53.83%,37.66%,0.00%
Andover,Peter Welch (D),4,121,0,4,6,0,182,1,0,16,0,334,54.49%,36.23%,0.00%
Arlington,Peter Welch (D),12,396,31,5,6,4,721,2,0,168,0,1345,53.61%,29.44%,0.00%
Athens,Peter Welch (D),0,69,0,2,4,3,99,0,0,32,0,209,47.37%,33.01%,0.00%
Baltimore,Gerald Malloy (R),0,60,0,4,2,1,49,0,0,8,0,124,39.52%,48.39%,0.00%
Barnet,Peter Welch (D),6,314,2,2,2,7,544,6,24,136,0,1043,52.16%,30.11%,0.00%
Barre City,Peter Welch (D),20,829,13,10,12,23,1841,40,72,336,0,3196,57.60%,25.94%,0.00%
Barre Town,Peter Welch (D),40,1505,15,13,11,13,2070,55,88,360,0,4170,49.64%,36.09%,0.00%
Barton,Peter Welch (D),8,341,4,2,3,7,548,6,2,144,0,1065,51.46%,32.02%,0.00%
Bennington,Peter Welch (D),46,1557,231,16,18,31,3390,17,0,0,0,5306,63.89%,29.34%,0.00%
Benson,Gerald Malloy (R),3,248,1,1,3,2,187,1,0,48,0,494,37.85%,50.20%,0.00%
Berkshire,Gerald Malloy (R),2,256,0,2,0,2,254,0,16,56,0,588,43.20%,43.54%,0.00%
Berlin,Peter Welch (D),7,378,3,0,5,8,820,14,40,128,0,1403,58.45%,26.94%,0.00%
Bethel,Peter Welch (D),7,238,5,5,4,1,596,2,24,88,0,970,61.44%,24.54%,0.00%
Bloomfield,Gerald Malloy (R),3,58,0,0,1,1,40,0,0,0,0,103,38.83%,56.31%,0.00%
Bolton,Peter Welch (D),7,147,4,2,1,2,467,0,8,88,0,726,64.33%,20.25%,0.00%
Bradford,Peter Welch (D),16,398,2,6,8,7,737,2,24,152,0,1352,54.51%,29.44%,0.00%
Braintree,Peter Welch (D),4,208,7,2,2,5,363,3,8,64,0,666,54.50%,31.23%,0.00%
Brandon,Peter Welch (D),16,611,5,10,10,10,1018,10,24,256,0,1970,51.68%,31.02%,0.00%
Brattleboro,Peter Welch (D),51,637,17,42,23,110,4194,6,192,0,0,5272,79.55%,12.08%,0.00%
Bridgewater,Peter Welch (D),5,147,2,2,3,3,266,1,0,24,0,453,58.72%,32.45%,0.00%
Bridport,Peter Welch (D),5,272,1,1,0,1,334,0,0,72,0,686,48.69%,39.65%,0.00%
Brighton,Gerald Malloy (R),2,219,1,2,2,2,197,3,8,128,0,564,34.93%,38.83%,0.00%
Bristol,Peter Welch (D),22,499,9,5,11,10,1248,7,88,176,0,2075,60.14%,24.05%,0.00%
Brookline,Peter Welch (D),4,77,3,5,5,7,178,0,0,24,0,303,58.75%,25.41%,0.00%
Brunswick,Gerald Malloy (R),0,30,0,0,0,0,23,1,0,8,0,62,37.10%,48.39%,0.00%
Burke,Peter Welch (D),7,261,2,3,2,5,467,8,8,72,0,835,55.93%,31.26%,0.00%
Burlington,Peter Welch (D),145,479,16,19,16,69,6823,7,336,1064,0,8974,76.03%,5.34%,0.00%
Cabot,Peter Welch (D),4,220,1,1,0,4,493,10,16,184,0,933,52.84%,23.58%,0.00%
Calais,Peter Welch (D),7,145,2,1,3,9,717,40,32,104,0,1060,67.64%,13.68%,0.00%
Canaan,Peter Welch (D),4,149,3,3,3,1,182,5,0,48,0,398,45.73%,37.44%,0.00%
Castleton,Peter Welch (D),17,775,8,3,7,1,842,5,24,160,0,1842,45.71%,42.07%,0.00%
Cavendish,Peter Welch (D),3,256,2,3,18,8,364,3,8,144,0,809,44.99%,31.64%,0.00%
Charleston,Peter Welch (D),6,168,5,6,2,4,208,2,2,100,0,503,41.35%,33.40%,0.00%
Charlotte,Peter Welch (D),15,415,5,1,5,6,1875,1,24,352,0,2699,69.47%,15.38%,0.00%
Chester,Peter Welch (D),10,443,6,19,41,2,879,3,16,88,0,1507,58.33%,29.40%,0.00%
Chittenden,Peter Welch (D),8,269,2,8,1,3,393,3,0,80,0,767,51.24%,35.07%,0.00%
Clarendon,Gerald Malloy (R),5,564,1,5,6,1,539,2,8,112,0,1243,43.36%,45.37%,0.00%
Colchester,Peter Welch (D),82,1969,32,18,15,30,4952,13,184,872,0,8167,60.63%,24.11%,0.00%
Concord,Peter Welch (D),6,228,1,2,2,4,231,9,0,48,0,531,43.50%,42.94%,0.00%
Corinth,Peter Welch (D),4,258,0,3,1,5,389,3,0,152,0,815,47.73%,31.66%,0.00%
Cornwall,Peter Welch (D),2,139,4,3,1,2,556,2,16,88,0,813,68.39%,17.10%,0.00%
Coventry,Peter Welch (D),5,179,1,2,5,1,197,2,32,40,0,464,42.46%,38.58%,0.00%
Craftsbury,Peter Welch (D),4,139,2,2,1,5,487,4,2,120,0,766,63.58%,18.15%,0.00%
Danby,Gerald Malloy (R),0,301,5,4,5,2,300,2,16,80,0,715,41.96%,42.10%,0.00%
Danville,Peter Welch (D),10,426,6,3,6,9,801,10,24,160,0,1455,55.05%,29.28%,0.00%
Derby,Peter Welch (D),14,816,10,10,8,4,1041,6,56,264,0,2229,46.70%,36.61%,0.00%
Dorset,Peter Welch (D),5,285,15,0,8,0,840,0,2,216,0,1371,61.27%,20.79%,0.00%
