id,town,county,district,registered_voters,absentee_ballots,accessible_voting_system,defective_ballots,counted_ballots,provisional_ballots,total_ballots_cast,absentee_percent,counted_ballots_percent,turnout
16,Addison,,,0,0,0,0,0,0,0,0.00%,0.00%,0.00%
17,Albany,,,0,0,0,0,0,0,0,0.00%,0.00%,0.00%
18,Alburgh,,,0,0,0,0,0,0,0,0.00%,0.00%,0.00%
19,Andover,,,0,0,0,0,0,0,0,0.00%,0.00%,0.00%
20,Arlington,,,2163,646,0,2,1198,0,0,29.87%,55.39%,55.48%
21,Athens,,,0,0,0,0,0,0,0,0.00%,0.00%,0.00%
22,Bakersfield,,,0,0,0,0,0,0,0,0.00%,0.00%,0.00%
23,Baltimore,,,0,0,0,0,0,0,0,0.00%,0.00%,0.00%
24,Barnard,,,0,0,0,0,0,0,0,0.00%,0.00%,0.00%
25,Barnet,,,0,0,0,0,0,0,0,0.00%,0.00%,0.00%
26,Barre City,,,6014,2062,0,5,2846,0,0,34.29%,47.32%,47.41%
27,Barre Town,,,6237,1034,0,0,0,0,0,16.58%,0.00%,0.00%
28,Barton,,,0,0,0,0,0,0,0,0.00%,0.00%,0.00%
29,Belvidere,,,0,0,0,0,0,0,0,0.00%,0.00%,0.00%
30,Bennington,,,10380,3359,0,0,0,0,0,32.36%,0.00%,0.00%
31,Benson,,,0,0,0,0,0,0,0,0.00%,0.00%,0.00%
32,Berkshire,,,1094,292,0,0,527,0,0,26.69%,48.17%,48.17%
33,Berlin,,,0,0,0,0,0,0,0,0.00%,0.00%,0.00%
34,Bethel,,,0,0,0,0,0,0,0,0.00%,0.00%,0.00%
35,Bloomfield,,,0,0,0,0,0,0,0,0.00%,0.00%,0.00%
36,Bolton,,,1006,338,0,1,642,0,0,33.60%,63.82%,63.92%
37,Bradford,,,2220,663,0,0,1199,0,0,29.86%,54.01%,54.01%
38,Braintree,,,0,0,0,0,0,0,0,0.00%,0.00%,0.00%
39,Brandon,,,3069,1209,0,5,1726,0,0,39.39%,56.24%,56.40%
40,Brattleboro,,,2947,1334,0,3,1694,0,0,45.27%,57.48%,57.58%
41,Bridgewater,,,745,339,0,0,433,0,0,45.50%,58.12%,58.12%
42,Bridport,,,0,0,0,0,0,0,0,0.00%,0.00%,0.00%
43,Brighton,,,0,0,0,0,0,0,0,0.00%,0.00%,0.00%
44,Bristol,,,3182,855,0,0,992,0,0,26.87%,31.18%,31.18%
45,Brookfield,,,0,0,0,0,0,0,0,0.00%,0.00%,0.00%
46,Brookline,,,0,0,0,0,0,0,0,0.00%,0.00%,0.00%
47,Brownington,,,0,0,0,0,0,0,0,0.00%,0.00%,0.00%
48,Brunswick,,,0,0,0,0,0,0,0,0.00%,0.00%,0.00%
49,Burke,,,1281,476,0,2,765,0,0,37.16%,59.72%,59.88%
50,Burlington,,,0,0,0,0,0,0,0,0.00%,0.00%,0.00%
51,Cabot,,,1152,472,0,0,758,0,0,40.97%,65.80%,65.80%
52,Calais,,,1459,668,0,1,941,0,0,45.78%,64.50%,64.56%
53,Cambridge,,,0,0,0,0,0,0,0,0.00%,0.00%,0.00%
54,Canaan,,,0,0,0,0,0,0,0,0.00%,0.00%,0.00%
55,Castleton,,,0,0,0,0,0,0,0,0.00%,0.00%,0.00%
56,Cavendish,,,0,0,0,0,0,0,0,0.00%,0.00%,0.00%
57,Charleston,,,728,293,0,0,413,0,0,40.25%,56.73%,56.73%
58,Charlotte,,,0,0,0,0,0,0,0,0.00%,0.00%,0.00%
59,Chelsea,,,0,0,0,0,0,0,0,0.00%,0.00%,0.00%
60,Chester,,,2445,767,0,0,1416,0,0,31.37%,57.91%,57.91%
