id,town,county,district,registered_voters,absentee_ballots,accessible_voting_system,defective_ballots,counted_ballots,provisional_ballots,total_ballots_cast,absentee_percent,counted_ballots_percent,turnout
16,Addison,,,1177,50,2,0,306,0,0,4.25%,26.00%,0.00%
17,Albany,,,690,19,0,0,137,0,0,2.75%,19.86%,0.00%
19,Andover,,,402,11,0,0,134,0,0,2.74%,33.33%,0.00%
20,Arlington,,,2041,39,0,0,374,0,0,1.91%,18.32%,0.00%
21,Athens,,,345,8,0,0,63,0,0,2.32%,18.26%,0.00%
22,Bakersfield,,,1042,18,0,0,157,0,0,1.73%,15.07%,0.00%
23,Baltimore,,,199,1,0,0,42,0,0,0.50%,21.11%,0.00%
24,Barnard,,,716,17,0,0,219,0,0,2.37%,30.59%,0.00%
26,Barre City,,,5591,381,0,0,1049,0,0,6.81%,18.76%,0.00%
27,Barre Town,,,6504,697,0,3,1436,0,0,10.72%,22.08%,0.00%
28,Barton,,,2125,62,0,1,205,0,0,2.92%,9.65%,0.00%
29,Belvidere,,,287,6,1,0,40,0,0,2.09%,13.94%,0.00%
30,Bennington,,,10370,463,0,16,2058,0,0,4.46%,19.85%,0.00%
31,Benson,,,173,40,0,0,138,0,0,23.12%,79.77%,0.00%
32,Berkshire,,,1138,31,0,0,167,0,0,2.72%,14.67%,0.00%
33,Berlin,,,2104,181,0,0,574,0,0,8.60%,27.28%,0.00%
34,Bethel,,,1407,29,269,0,269,0,0,2.06%,19.12%,0.00%
35,Bloomfield,,,181,0,0,0,20,0,0,0.00%,11.05%,0.00%
36,Bolton,,,998,19,0,0,213,0,0,1.90%,21.34%,0.00%
37,Bradford,,,1987,57,0,0,438,0,0,2.87%,22.04%,0.00%
38,Braintree,,,1021,38,0,0,204,0,0,3.72%,19.98%,0.00%
39,Brandon,,,3145,122,0,1,551,0,0,3.88%,17.52%,0.00%
40,Brattleboro,,,9170,896,0,0,2319,0,0,9.77%,25.29%,0.00%
41,Bridgewater,,,728,24,0,0,167,0,0,3.30%,22.94%,0.00%
42,Bridport,,,942,14,0,0,266,0,0,1.49%,28.24%,0.00%
43,Brighton,,,1040,16,121,0,121,0,0,1.54%,11.63%,0.00%
44,Bristol,,,3430,109,0,0,785,0,0,3.18%,22.89%,0.00%
46,Brookline,,,453,7,0,0,102,0,0,1.55%,22.52%,0.00%
47,Brownington,,,785,6,0,0,75,0,0,0.76%,9.55%,0.00%
48,Brunswick,,,63,0,0,0,12,0,0,0.00%,19.05%,0.00%
49,Burke,,,1284,19,0,0,250,0,0,1.48%,19.47%,0.00%
51,Cabot,,,1146,56,1,0,268,0,0,4.89%,23.39%,0.00%
52,Calais,,,1461,253,0,0,671,0,0,17.32%,45.93%,0.00%
54,Canaan,,,742,6,0,0,85,0,0,0.81%,11.46%,0.00%
56,Cavendish,,,1124,39,0,0,236,0,0,3.47%,21.00%,0.00%
57,Charleston,,,736,14,0,0,103,0,0,1.90%,13.99%,0.00%
58,Charlotte,,,3436,357,0,0,1172,0,0,10.39%,34.11%,0.00%
59,Chelsea,,,995,10,0,0,171,0,0,1.01%,17.19%,0.00%
60,Chester,,,2522,112,0,0,581,0,0,4.44%,23.04%,0.00%
61,Chittenden,,,1014,36,0,0,188,0,0,3.55%,18.54%,0.00%
62,Clarendon,,,1957,37,0,0,260,0,0,1.89%,13.29%,0.00%
63,Colchester,,,13312,786,0,15,2855,0,0,5.90%,21.45%,0.00%
64,Concord,,,963,26,0,0,137,0,0,2.70%,14.23%,0.00%
65,Corinth,,,1225,38,0,0,308,0,0,3.10%,25.14%,0.00%
66,Cornwall,,,1018,106,0,0,381,0,0,10.41%,37.43%,0.00%
67,Coventry,,,847,9,0,0,99,0,0,1.06%,11.69%,0.00%
68,Craftsbury,,,995,74,0,0,233,0,0,7.44%,23.42%,0.00%
69,Danby,,,1009,67,0,0,198,0,0,6.64%,19.62%,0.00%
70,Danville,,,1937,73,0,0,431,0,0,3.77%,22.25%,0.00%
71,Derby,,,3622,97,0,4,465,0,0,2.68%,12.84%,0.00%
73,Dover,,,1304,13,1,0,132,0,0,1.00%,10.12%,0.00%
74,Dummerston,,,1609,146,0,0,474,0,0,9.07%,29.46%,0.00%
75,Duxbury,,,1183,67,0,0,273,0,0,5.66%,23.08%,0.00%
76,East Haven,,,216,10,0,0,45,0,0,4.63%,20.83%,0.00%
77,East Montpelier,,,2278,195,0,2,869,0,0,8.56%,38.15%,0.00%
78,Eden,,,989,16,0,0,93,0,0,1.62%,9.40%,0.00%
79,Elmore,,,746,14,0,0,179,0,0,1.88%,23.99%,0.00%
271,Essex Junction,,,8272,620,0,0,2115,0,0,7.50%,25.57%,0.00%
81,Essex,,,9254,1185,0,12,2406,0,0,12.81%,26.00%,0.00%
82,Fair Haven,,,2021,62,0,0,271,0,0,3.07%,13.41%,0.00%
83,Fairfax,,,3970,121,0,0,638,0,0,3.05%,16.07%,0.00%
85,Fairlee,,,795,19,2,0,192,0,0,2.39%,24.15%,0.00%
86,Fayston,,,1184,58,0,0,276,0,0,4.90%,23.31%,0.00%
87,Ferrisburgh,,,2385,114,0,0,652,0,0,4.78%,27.34%,0.00%
88,Fletcher,,,1175,41,0,0,222,0,0,3.49%,18.89%,0.00%
90,Georgia,,,4168,105,0,0,479,0,0,2.52%,11.49%,0.00%
92,Goshen,,,161,5,0,0,54,0,0,3.11%,33.54%,0.00%
93,Grafton,,,594,13,0,0,113,0,0,2.19%,19.02%,0.00%
94,Granby,,,64,0,0,0,12,0,0,0.00%,18.75%,0.00%
95,Grand Isle,,,1952,79,0,0,472,0,0,4.05%,24.18%,0.00%
96,Granville,,,243,6,0,0,44,0,0,2.47%,18.11%,0.00%
97,Greensboro,,,695,33,0,0,198,0,0,4.75%,28.49%,0.00%
98,Groton,,,800,16,0,1,133,0,0,2.00%,16.62%,0.00%
99,Guildhall,,,239,2,0,0,55,0,0,0.84%,23.01%,0.00%
100,Guilford,,,1879,130,1,1,456,0,0,6.92%,24.27%,0.00%
102,Hancock,,,266,13,1,0,60,0,0,4.89%,22.56%,0.00%
103,Hardwick,,,2353,53,0,0,408,0,0,2.25%,17.34%,0.00%
104,Hartford,,,9130,493,0,3,1599,0,0,5.40%,17.51%,0.00%
