City/Town,Leading Candidate,Adam Ortiz (I),Becca Balint (D),Ericka Redic (L),Liam Madden (R),Luke Talbot (I),Matt Druzba (I),Write-Ins,Blanks,OverVotes,Total Votes Cast,Becca Balint (D) Percent Votes Cast,Liam Madden (R) Percent Votes Cast,OverVotes Percent
Addison,Becca Balint (D),9,308,48,305,20,10,24,204,0,928,33.19%,32.87%,0.00%
Albany,Becca Balint (D),2,228,21,166,17,5,12,48,0,499,45.69%,33.27%,0.00%
Andover,Becca Balint (D),3,165,6,119,6,7,6,78,0,390,42.31%,30.51%,0.00%
Arlington,Becca Balint (D),29,690,61,348,15,16,18,210,0,1387,49.75%,25.09%,0.00%
Athens,Becca Balint (D),3,94,8,69,0,1,0,36,0,211,44.55%,32.70%,0.00%
Baltimore,Liam Madden (R),2,49,3,55,2,2,0,24,0,137,35.77%,40.15%,0.00%
Barnet,Becca Balint (D),5,474,33,299,39,15,24,204,0,1093,43.37%,27.36%,0.00%
Barre City,Becca Balint (D),32,1572,148,848,67,62,54,612,0,3395,46.30%,24.98%,0.00%
Barre Town,Becca Balint (D),29,1754,222,1495,67,70,138,678,0,4453,39.39%,33.57%,0.00%
Barton,Becca Balint (D),7,493,32,330,39,9,4,184,0,1098,44.90%,30.05%,0.00%
Bennington,Becca Balint (D),120,3085,167,1607,79,101,0,0,0,5159,59.80%,31.15%,0.00%
Benson,Liam Madden (R),14,164,29,228,2,6,0,48,0,491,33.40%,46.44%,0.00%
Berkshire,Liam Madden (R),5,211,35,239,8,11,18,90,0,617,34.20%,38.74%,0.00%
Berlin,Becca Balint (D),9,730,53,365,16,19,24,360,0,1576,46.32%,23.16%,0.00%
Bethel,Becca Balint (D),13,507,28,251,15,17,54,192,0,1077,47.08%,23.31%,0.00%
Bloomfield,Liam Madden (R),0,36,2,54,9,1,0,12,0,114,31.58%,47.37%,0.00%
Bolton,Becca Balint (D),0,423,37,144,6,15,0,102,0,727,58.18%,19.81%,0.00%
Bradford,Becca Balint (D),19,652,38,401,16,23,30,270,0,1449,45.00%,27.67%,0.00%
Braintree,Becca Balint (D),11,319,23,216,8,11,12,78,0,678,47.05%,31.86%,0.00%
Brandon,Becca Balint (D),73,870,77,588,28,27,30,330,0,2023,43.01%,29.07%,0.00%
Brattleboro,Becca Balint (D),22,4249,73,680,20,35,102,0,0,5181,82.01%,13.12%,0.00%
Bridgewater,Becca Balint (D),9,237,17,142,10,6,1,77,0,499,47.49%,28.46%,0.00%
Bridport,Becca Balint (D),8,274,56,231,15,11,30,156,0,781,35.08%,29.58%,0.00%
Brighton,Liam Madden (R),5,131,18,135,134,4,0,108,0,535,24.49%,25.23%,0.00%
Bristol,Becca Balint (D),29,1125,70,505,22,44,12,264,0,2071,54.32%,24.38%,0.00%
Brookline,Becca Balint (D),2,167,5,79,6,7,6,84,0,356,46.91%,22.19%,0.00%
Brunswick,Liam Madden (R),0,13,2,22,13,1,2,14,0,67,19.40%,32.84%,0.00%
Burke,Becca Balint (D),3,418,19,237,48,18,6,120,0,869,48.10%,27.27%,0.00%
Burlington,Becca Balint (D),29,6607,204,542,23,128,138,1146,0,8817,74.93%,6.15%,0.00%
Cabot,Becca Balint (D),3,440,25,226,14,10,18,222,0,958,45.93%,23.59%,0.00%
Calais,Becca Balint (D),3,688,21,181,7,9,24,168,0,1101,62.49%,16.44%,0.00%
Canaan,Liam Madden (R),4,144,13,148,21,11,0,90,0,431,33.41%,34.34%,0.00%
Castleton,Liam Madden (R),65,702,112,704,16,32,30,282,0,1943,36.13%,36.23%,0.00%
Cavendish,Becca Balint (D),11,334,38,244,4,14,18,168,0,831,40.19%,29.36%,0.00%
Charleston,Becca Balint (D),2,179,15,157,36,4,8,150,0,551,32.49%,28.49%,0.00%
Charlotte,Becca Balint (D),6,1723,90,413,10,30,36,546,0,2854,60.37%,14.47%,0.00%
Chester,Becca Balint (D),16,792,60,453,24,22,36,258,0,1661,47.68%,27.27%,0.00%
Chittenden,Becca Balint (D),23,328,41,253,10,15,12,150,0,832,39.42%,30.41%,0.00%
Clarendon,Liam Madden (R),37,446,65,512,14,22,18,234,0,1348,33.09%,37.98%,0.00%
Colchester,Becca Balint (D),41,4398,395,1860,61,186,156,1662,0,8759,50.21%,21.24%,0.00%
Concord,Liam Madden (R),8,183,22,218,25,10,12,120,0,598,30.60%,36.45%,0.00%
Corinth,Becca Balint (D),7,337,29,261,12,12,5,171,0,834,40.41%,31.29%,0.00%
Cornwall,Becca Balint (D),9,524,23,131,4,10,6,126,0,833,62.91%,15.73%,0.00%
Coventry,Becca Balint (D),1,170,29,162,19,9,6,66,0,462,36.80%,35.06%,0.00%
Craftsbury,Becca Balint (D),7,439,26,136,14,10,1,175,0,808,54.33%,16.83%,0.00%
Danby,Liam Madden (R),22,243,29,295,11,6,18,138,0,762,31.89%,38.71%,0.00%
Danville,Becca Balint (D),8,685,61,431,29,19,42,324,0,1599,42.84%,26.95%,0.00%
Derby,Becca Balint (D),15,826,80,817,109,36,36,354,0,2273,36.34%,35.94%,0.00%
Dorset,Becca Balint (D),14,761,22,303,8,20,3,384,0,1515,50.23%,20.00%,0.00%
Dover,Becca Balint (D),6,442,32,188,6,9,6,96,0,785,56.31%,23.95%,0.00%
Dummerston,Becca Balint (D),4,815,14,213,13,12,12,66,0,1149,70.93%,18.54%,0.00%
Duxbury,Becca Balint (D),2,463,30,168,7,14,5,396,0,1085,42.67%,15.48%,0.00%
East Haven,Becca Balint (D),0,47,5,36,13,1,0,30,0,132,35.61%,27.27%,0.00%
East Montpelier,Becca Balint (D),4,1030,53,294,14,24,66,246,0,1731,59.50%,16.98%,0.00%
Eden,Liam Madden (R),5,187,22,212,10,5,0,120,0,561,33.33%,37.79%,0.00%
Elmore,Becca Balint (D),2,349,27,98,4,6,30,150,0,666,52.40%,14.71%,0.00%
Enosburgh,Becca Balint (D),12,450,57,441,31,41,12,276,0,1320,34.09%,33.41%,0.00%
Essex Junction,Becca Balint (D),31,3083,305,1019,42,124,180,996,0,5780,53.34%,17.63%,0.00%
Essex,Becca Balint (D),30,3527,399,1360,42,108,144,1290,0,6900,51.12%,19.71%,0.00%
Fair Haven,Liam Madden (R),42,401,55,424,14,11,12,222,0,1181,33.95%,35.90%,0.00%
Fairfax,Becca Balint (D),17,1205,173,843,37,45,60,6,0,2386,50.50%,35.33%,0.00%
Fairfield,Becca Balint (D),7,425,51,327,15,30,30,216,0,1101,38.60%,29.70%,0.00%
Fairlee,Becca Balint (D),2,336,6,130,4,8,18,102,0,606,55.45%,21.45%,0.00%
Fayston,Becca Balint (D),2,583,30,141,4,15,0,222,0,997,58.48%,14.14%,0.00%
Ferrisburgh,Becca Balint (D),12,940,92,454,16,29,18,312,0,1873,50.19%,24.24%,0.00%
Fletcher,Becca Balint (D),3,371,56,195,15,22,6,132,0,800,46.38%,24.38%,0.00%
Franklin,Liam Madden (R),2,227,35,265,16,10,24,162,0,741,30.63%,35.76%,0.00%
Georgia,Becca Balint (D),12,999,140,881,29,62,54,468,0,2645,37.77%,33.31%,0.00%
Glover,Becca Balint (D),4,289,17,171,19,14,18,138,0,670,43.13%,25.52%,0.00%
Goshen,Becca Balint (D),0,70,6,34,1,0,0,24,0,135,51.85%,25.19%,0.00%
Grafton,Becca Balint (D),3,208,13,100,9,3,7,28,0,371,56.06%,26.95%,0.00%
Granby,Liam Madden (R),0,13,2,14,1,0,0,18,0,48,27.08%,29.17%,0.00%
Grand Isle,Becca Balint (D),14,636,62,375,21,38,12,156,0,1314,48.40%,28.54%,0.00%
Granville,Becca Balint (D),2,89,6,23,1,7,0,36,0,164,54.27%,14.02%,0.00%
Greensboro,Becca Balint (D),0,306,19,61,8,8,6,54,0,462,66.23%,13.20%,0.00%
Groton,Liam Madden (R),4,190,22,198,23,5,18,78,0,538,35.32%,36.80%,0.00%
Guildhall,Liam Madden (R),5,60,3,63,7,2,6,42,0,188,31.91%,33.51%,0.00%
Halifax,Becca Balint (D),3,240,19,137,0,3,1,70,0,473,50.74%,28.96%,0.00%
Hancock,Becca Balint (D),4,81,4,46,3,6,12,12,0,168,48.21%,27.38%,0.00%
Hardwick,Becca Balint (D),7,651,41,319,36,23,30,234,0,1341,48.55%,23.79%,0.00%
Hartford,Becca Balint (D),48,3275,114,1117,57,72,96,762,0,5541,59.10%,20.16%,0.00%
Hartland,Becca Balint (D),33,1093,46,446,22,38,36,330,0,2044,53.47%,21.82%,0.00%
Highgate,Liam Madden (R),14,428,68,652,20,33,42,168,0,1425,30.04%,45.75%,0.00%
Hinesburg,Becca Balint (D),8,1683,125,472,21,55,96,606,0,3066,54.89%,15.39%,0.00%
Holland,Liam Madden (R),2,94,15,130,24,3,12,54,0,334,28.14%,38.92%,0.00%
Hubbardton,Becca Balint (D),15,149,18,125,6,6,18,84,0,421,35.39%,29.69%,0.00%
Huntington,Becca Balint (D),2,798,49,219,15,28,24,192,0,1327,60.14%,16.50%,0.00%
Hyde Park,Becca Balint (D),4,807,47,384,25,37,54,0,0,1358,59.43%,28.28%,0.00%
Ira,Liam Madden (R),15,82,18,89,8,4,6,18,0,240,34.17%,37.08%,0.00%
Isle La Motte,Becca Balint (D),7,155,15,116,7,2,0,42,0,344,45.06%,33.72%,0.00%
Jamaica,Becca Balint (D),5,286,15,104,0,5,0,48,0,463,61.77%,22.46%,0.00%
Jay,Becca Balint (D),1,105,17,101,14,6,1,35,0,280,37.50%,36.07%,0.00%
Johnson,Becca Balint (D),12,671,52,359,15,21,54,252,0,1436,46.73%,25.00%,0.00%
Killington,Becca Balint (D),18,378,18,194,7,14,12,132,0,773,48.90%,25.10%,0.00%
Kirby,Becca Balint (D),2,165,16,87,10,2,1,56,0,339,48.67%,25.66%,0.00%
Landgrove,Becca Balint (D),0,84,2,18,0,1,0,48,0,153,54.90%,11.76%,0.00%
Leicester,Becca Balint (D),8,232,19,154,11,11,3,128,0,566,40.99%,27.21%,0.00%
Lemington,Liam Madden (R),0,15,2,21,0,0,0,0,0,38,39.47%,55.26%,0.00%
Lincoln,Becca Balint (D),6,540,26,170,11,15,12,162,0,942,57.32%,18.05%,0.00%
Londonderry,Becca Balint (D),14,532,38,217,11,16,6,204,0,1038,51.25%,20.91%,0.00%
Ludlow,Becca Balint (D),31,523,51,319,7,19,6,228,0,1184,44.17%,26.94%,0.00%
Lunenburg,Liam Madden (R),4,156,17,204,15,10,18,108,0,532,29.32%,38.35%,0.00%
Lyndon,Becca Balint (D),15,833,96,778,109,38,36,504,0,2409,34.58%,32.30%,0.00%
Maidstone,Liam Madden (R),0,46,2,59,4,1,0,18,0,130,35.38%,45.38%,0.00%
Manchester,Becca Balint (D),32,1433,94,543,24,31,36,408,0,2601,55.09%,20.88%,0.00%
Marlboro,Becca Balint (D),1,429,9,69,4,4,12,96,0,624,68.75%,11.06%,0.00%
Marshfield,Becca Balint (D),8,453,19,230,6,8,18,216,0,958,47.29%,24.01%,0.00%
Mendon,Becca Balint (D),26,311,23,223,2,8,12,78,0,683,45.53%,32.65%,0.00%
Middlebury,Becca Balint (D),20,2592,96,561,23,40,48,588,0,3968,65.32%,14.14%,0.00%
Middlesex,Becca Balint (D),7,743,33,169,13,15,24,198,0,1202,61.81%,14.06%,0.00%
Middletown Springs,Becca Balint (D),9,258,34,174,6,2,0,114,0,597,43.22%,29.15%,0.00%
Milton,Becca Balint (D),46,2181,411,1608,55,136,108,1200,0,5745,37.96%,27.99%,0.00%
Monkton,Becca Balint (D),13,714,66,312,11,33,1,189,0,1339,53.32%,23.30%,0.00%
Montpelier,Becca Balint (D),17,3616,94,434,21,60,96,744,0,5082,71.15%,8.54%,0.00%
Moretown,Becca Balint (D),12,665,31,183,12,18,42,12,0,975,68.21%,18.77%,0.00%
Morgan,Liam Madden (R),2,116,20,131,31,5,1,133,0,439,26.42%,29.84%,0.00%
Morristown,Becca Balint (D),24,1657,129,575,35,46,48,606,0,3120,53.11%,18.43%,0.00%
Mount Holly,Becca Balint (D),15,335,43,276,4,13,0,90,0,776,43.17%,35.57%,0.00%
Mount Tabor,Liam Madden (R),2,37,5,38,4,3,0,30,0,119,31.09%,31.93%,0.00%
New Haven,Becca Balint (D),10,552,44,310,16,14,36,162,0,1144,48.25%,27.10%,0.00%
Newbury,Becca Balint (D),9,530,34,342,24,16,9,288,0,1252,42.33%,27.32%,0.00%
Newfane,Becca Balint (D),5,669,30,170,7,12,72,114,0,1079,62.00%,15.76%,0.00%
Newport City,Becca Balint (D),16,691,46,463,72,26,30,210,0,1554,44.47%,29.79%,0.00%
Newport Town,Liam Madden (R),4,228,26,273,41,13,5,176,0,766,29.77%,35.64%,0.00%
North Hero,Becca Balint (D),3,368,35,191,4,14,30,66,0,711,51.76%,26.86%,0.00%
Northfield,Becca Balint (D),27,1067,70,586,38,44,84,648,0,2564,41.61%,22.85%,0.00%
Norton,Liam Madden (R),1,29,1,54,9,1,0,30,0,125,23.20%,43.20%,0.00%
Norwich,Becca Balint (D),7,1847,23,183,11,19,18,294,0,2402,76.89%,7.62%,0.00%
Orange,Liam Madden (R),4,158,37,224,12,10,16,176,0,637,24.80%,35.16%,0.00%
Panton,Becca Balint (D),6,219,20,86,10,9,6,72,0,428,51.17%,20.09%,0.00%
Pawlet,Becca Balint (D),18,392,53,265,9,2,6,180,0,925,42.38%,28.65%,0.00%
Peacham,Becca Balint (D),0,288,11,121,10,4,4,136,0,574,50.17%,21.08%,0.00%
Peru,Becca Balint (D),3,161,6,48,0,1,12,42,0,273,58.97%,17.58%,0.00%
Pittsfield,Becca Balint (D),12,154,14,89,8,7,2,56,0,342,45.03%,26.02%,0.00%
Pittsford,Becca Balint (D),47,592,71,528,13,22,0,180,0,1453,40.74%,36.34%,0.00%
Plainfield,Becca Balint (D),1,480,19,119,10,10,18,108,0,765,62.75%,15.56%,0.00%
Pomfret,Becca Balint (D),4,441,11,110,5,8,12,66,0,657,67.12%,16.74%,0.00%
Poultney,Becca Balint (D),47,604,75,522,26,22,24,228,0,1548,39.02%,33.72%,0.00%
Pownal,Liam Madden (R),6,165,10,172,10,5,12,156,0,536,30.78%,32.09%,0.00%
Proctor,Becca Balint (D),44,349,34,280,6,16,6,132,0,867,40.25%,32.30%,0.00%
Putney,Becca Balint (D),3,971,14,164,6,7,24,132,0,1321,73.50%,12.41%,0.00%
Randolph,Becca Balint (D),39,1339,87,632,33,44,36,366,0,2576,51.98%,24.53%,0.00%
Reading,Becca Balint (D),6,239,13,101,6,6,24,108,0,503,47.51%,20.08%,0.00%
Richford,Liam Madden (R),9,269,26,279,24,26,36,180,0,849,31.68%,32.86%,0.00%
Richmond,Becca Balint (D),7,1744,114,398,19,36,24,414,0,2756,63.28%,14.44%,0.00%
Ripton,Becca Balint (D),1,254,9,56,1,2,12,30,0,365,69.59%,15.34%,0.00%
Rockingham,Becca Balint (D),23,1129,58,530,33,25,36,264,0,2098,53.81%,25.26%,0.00%
Roxbury,Becca Balint (D),8,191,14,100,9,10,12,78,0,422,45.26%,23.70%,0.00%
Royalton,Becca Balint (D),11,716,22,331,20,20,24,168,0,1312,54.57%,25.23%,0.00%
Rupert,Becca Balint (D),4,221,22,127,2,2,6,60,0,444,49.77%,28.60%,0.00%
Rutland City,Becca Balint (D),362,2936,249,1911,77,91,258,1272,0,7156,41.03%,26.70%,0.00%
Saint Albans City,Becca Balint (D),21,1325,113,629,29,74,54,450,0,2695,49.17%,23.34%,0.00%
Saint Albans Town,Becca Balint (D),15,1423,186,1088,64,96,114,798,0,3784,37.61%,28.75%,0.00%
Saint George,Becca Balint (D),1,208,19,92,4,14,6,84,0,428,48.60%,21.50%,0.00%
Saint Johnsbury,Becca Balint (D),26,1485,127,784,92,53,60,492,0,3119,47.61%,25.14%,0.00%
Salisbury,Becca Balint (D),13,289,24,172,6,14,6,72,0,596,48.49%,28.86%,0.00%
Searsburg,Becca Balint (D),0,18,9,17,1,0,0,0,0,45,40.00%,37.78%,0.00%
Shaftsbury,Becca Balint (D),34,1008,51,592,19,28,12,396,0,2140,47.10%,27.66%,0.00%
Sharon,Becca Balint (D),6,433,22,185,5,9,6,120,0,786,55.09%,23.54%,0.00%
Sheffield,Liam Madden (R),2,120,9,129,9,5,6,102,0,382,31.41%,33.77%,0.00%
Shelburne,Becca Balint (D),8,1945,70,372,13,50,30,4272,0,6760,28.77%,5.50%,0.00%
Sheldon,Liam Madden (R),15,266,33,327,14,19,18,180,0,872,30.50%,37.50%,0.00%
Shoreham,Becca Balint (D),7,322,27,189,8,11,6,156,0,726,44.35%,26.03%,0.00%
Shrewsbury,Becca Balint (D),12,300,29,224,4,5,6,66,0,646,46.44%,34.67%,0.00%
South Hero,Becca Balint (D),6,707,66,257,7,31,24,252,0,1350,52.37%,19.04%,0.00%
Springfield,Becca Balint (D),52,1732,163,1168,47,67,42,600,0,3871,44.74%,30.17%,0.00%
Stannard,Becca Balint (D),1,60,4,22,5,2,0,18,0,112,53.57%,19.64%,0.00%
Starksboro,Becca Balint (D),7,540,49,226,22,20,6,150,0,1020,52.94%,22.16%,0.00%
Stockbridge,Becca Balint (D),8,243,18,91,10,7,12,66,0,455,53.41%,20.00%,0.00%
Stowe,Becca Balint (D),18,1769,95,495,21,65,54,900,0,3417,51.77%,14.49%,0.00%
Strafford,Becca Balint (D),1,553,9,86,6,7,6,126,0,794,69.65%,10.83%,0.00%
Stratton,Becca Balint (D),0,73,0,59,1,4,0,36,0,173,42.20%,34.10%,0.00%
Sudbury,Becca Balint (D),6,184,10,94,5,5,6,48,0,358,51.40%,26.26%,0.00%
Sunderland,Becca Balint (D),12,308,32,161,4,11,0,96,0,624,49.36%,25.80%,0.00%
Sutton,Liam Madden (R),1,161,14,168,26,7,12,114,0,503,32.01%,33.40%,0.00%
Thetford,Becca Balint (D),9,1138,38,303,21,26,30,252,0,1817,62.63%,16.68%,0.00%
Troy,Becca Balint (D),4,253,30,252,34,11,24,96,0,704,35.94%,35.80%,0.00%
Tunbridge,Becca Balint (D),7,416,32,216,22,14,30,114,0,851,48.88%,25.38%,0.00%
Underhill,Becca Balint (D),9,1260,89,459,14,35,18,294,0,2178,57.85%,21.07%,0.00%
Vergennes,Becca Balint (D),12,857,31,273,21,23,36,282,0,1535,55.83%,17.79%,0.00%
Vernon,Becca Balint (D),6,477,24,357,7,15,12,204,0,1102,43.28%,32.40%,0.00%
Victory,Liam Madden (R),0,16,1,29,3,0,0,6,0,55,29.09%,52.73%,0.00%
Waitsfield,Becca Balint (D),6,775,23,172,4,22,3,217,0,1222,63.42%,14.08%,0.00%
Walden,Becca Balint (D),4,260,21,149,10,6,6,138,0,594,43.77%,25.08%,0.00%
Wallingford,Becca Balint (D),44,492,52,382,32,13,18,174,0,1207,40.76%,31.65%,0.00%
Waltham,Becca Balint (D),4,155,16,78,4,6,12,12,0,287,54.01%,27.18%,0.00%
Wardsboro,Becca Balint (D),5,240,16,99,7,2,18,72,0,459,52.29%,21.57%,0.00%
Warren,Becca Balint (D),2,780,38,129,10,15,0,0,0,974,80.08%,13.24%,0.00%
Waterbury,Becca Balint (D),13,2050,107,468,28,67,78,612,0,3423,59.89%,13.67%,0.00%
Waterford,Becca Balint (D),3,289,29,286,18,14,3,180,0,822,35.16%,34.79%,0.00%
Waterville,Becca Balint (D),7,171,44,118,2,4,12,108,0,466,36.70%,25.32%,0.00%
Weathersfield,Becca Balint (D),24,733,60,526,28,33,24,180,0,1608,45.58%,32.71%,0.00%
